--- Running Pine Script Logic Test over last 4 weeks ---
Processed 0 candles...
[2026-03-18 08:19:00+00:00] Candidate updated: cand_open=25171.25
[2026-03-18 09:04:00+00:00] Candidate updated: cand_open=25168.75
[2026-03-18 08:44:00+00:00] Candidate updated: cand_open=25158.25
[2026-03-18 09:41:00+00:00] Candidate updated: cand_open=25180.0
[2026-03-18 10:41:00+00:00] Candidate updated: cand_open=25177.5
[2026-03-18 10:42:00+00:00] Candidate updated: cand_open=25178.75
[2026-03-18 10:48:00+00:00] Candidate updated: cand_open=25174.5
[2026-03-18 10:49:00+00:00] Candidate updated: cand_open=25175.75
[2026-03-18 10:05:00+00:00] Candidate updated: cand_open=25165.5
[2026-03-18 11:01:00+00:00] Candidate updated: cand_open=25151.75
[2026-03-18 11:02:00+00:00] Candidate updated: cand_open=25153.25
[2026-03-18 03:39:00+00:00] Candidate updated: cand_open=25117.5
[2026-03-18 11:31:00+00:00] Candidate updated: cand_open=25100.75
[2026-03-18 00:21:00+00:00] Candidate updated: cand_open=25037.5
[2026-03-18 12:20:00+00:00] Candidate updated: cand_open=25002.75
[2026-03-18 12:21:00+00:00] Candidate updated: cand_open=25006.75
[2026-03-18 12:20:00+00:00] Candidate updated: cand_open=25002.75
[2026-03-18 12:21:00+00:00] Candidate updated: cand_open=25006.75
[2026-03-18 12:23:00+00:00] Candidate updated: cand_open=25009.5
[2026-03-17 16:04:00+00:00] Candidate updated: cand_open=24966.5
[2026-03-17 16:08:00+00:00] Candidate updated: cand_open=24959.25
[2026-03-18 12:49:00+00:00] Candidate updated: cand_open=24892.5
[2026-03-18 12:50:00+00:00] Candidate updated: cand_open=24895.75
[2026-03-18 12:51:00+00:00] Candidate updated: cand_open=24896.5
[2026-03-18 12:52:00+00:00] Candidate updated: cand_open=24908.0
[2026-03-18 12:59:00+00:00] Candidate updated: cand_open=24879.25
[2026-03-18 13:00:00+00:00] Candidate updated: cand_open=24880.75
[2026-03-18 12:59:00+00:00] Candidate updated: cand_open=24879.25
[2026-03-18 13:00:00+00:00] Candidate updated: cand_open=24880.75
[2026-03-18 14:03:00+00:00] Candidate updated: cand_open=24926.0
[2026-03-18 14:06:00+00:00] Candidate updated: cand_open=24934.5
[2026-03-18 14:03:00+00:00] Candidate updated: cand_open=24926.0
[2026-03-18 14:15:00+00:00] Candidate updated: cand_open=24895.25
[2026-03-17 12:00:00+00:00] Candidate updated: cand_open=24814.75
[2026-03-18 14:44:00+00:00] Candidate updated: cand_open=24828.75
[2026-03-18 14:45:00+00:00] Candidate updated: cand_open=24831.5
[2026-03-18 14:44:00+00:00] Candidate updated: cand_open=24828.75
